ORIGINAL	CONTEXT	TRANSLATED
happy prologues	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth?	Good beginnings.

the swelling act	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth?	the main part of the play

Commencing in a truth?	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature?	Starting with something true?

knock at my ribs, Against the use of nature?	Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings:	make my heart pound so hard it feels unnatural?

Whose horrid image	Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings:	The terrible thought

my seated heart	Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings:	My firmly planted heart.

less than horrible imaginings:	I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.	not as bad as what I'm imagining.

horrible imaginings	I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.	terrible fantasies

thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.	Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.	The thought of something so unreal as murder shakes me so deeply that I am paralyzed by speculation, and reality is replaced by what is not real.

crown me, Without my stir.	If chance will have me king, why, chance may crown me, Without my stir.	crown me without me having to do anything.

cleave not to their mould But with the aid of use.	New horrors come upon him, Like our strange garments, cleave not to their mould But with the aid of use.	Don't fit them at first, but become comfortable with use.

our strange garments	New horrors come upon him, Like our strange garments, cleave not to their mould But with the aid of use.	Our unusual clothes

my dull brain	Give me your favour: my dull brain was wrought With things forgotten. Kind gentlemen, your pains Are register'd where every day I turn The leaf to read them.	my forgetful mind

Think upon what hath chanced, and, at more time, The interim having weigh'd it, let us speak Our free hearts each to other.	Let us toward the king. Think upon what hath chanced, and, at more time, The interim having weigh'd it, let us speak Our free hearts each to other.	Think about what has happened, and after we've had time to consider it, let's speak honestly with each other.

execution done on Cawdor?	Is execution done on Cawdor? Are not Those in commission yet return'd?	Has Cawdor been executed?

Those in commission yet return'd?	Is execution done on Cawdor? Are not Those in commission yet return'd?	Have the people sent to do the job returned yet?

a careless trifle	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.	something worthless

your highness' pardon	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.	your highness' forgiveness

A deep repentance	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.	A profound regret.

twere a careless trifle.	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.	as if it were a worthless thing.

gentleman on whom I built An absolute trust.	There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin!	a gentleman I trusted completely.

the mind's construction	There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin!	what someone is thinking

O worthiest cousin	There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin! The sin of my ingratitude even now Was heavy on me: thou art so far before That swiftest wing of recompense is slow To overtake thee.	You are the best cousin.

wing of recompense is slow To overtake thee.	O worthiest cousin! The sin of my ingratitude even now Was heavy on me: thou art so far before That swiftest wing of recompense is slow To overtake thee. Would thou hadst less deserved, That the proportion both of thanks and payment Might have been mine!	Trying to repay you is like trying to catch up with someone incredibly fast – I'm just too slow.

loyalty I owe, In doing it, pays itself.	The service and the loyalty I owe, In doing it, pays itself. Your highness' part Is to receive our duties; and our duties Are to your throne and state children and servants, Which do but what they should, by doing every thing Safe toward your love and honour.	The loyalty I give pays for itself in the act of giving it.
